"quarter_start","CPI","Savings_Rate","TD_3m","TD_12m","Prime_Lending","Max_Lending","GDP_constant_2010"
2019-01-01,278.676666666667,4.03666666666667,9.61666666666667,10.5433333333333,15.67,30.6233333333333,72017.1314655883
2019-04-01,286.586666666667,3.91666666666667,9.12333333333333,10.5633333333333,16.4533333333333,31,72328.9655712944
2019-07-01,295.573333333333,3.93,8.91333333333333,9.99,15.3366666666667,31.18,72250.0070528534
2019-10-01,304.706666666667,3.91666666666667,7.94666666666667,9.49666666666667,14.99,30.2266666666667,71780.2559102654
2020-01-01,312.666666666667,3.89,6.05666666666667,8.21333333333333,13.26,28.9866666666667,70919.7121435303
2020-04-01,322.23,3.76666666666667,5.45333333333333,7.47666666666667,12.4233333333333,28.69,70527.8257794243
2020-07-01,334.743333333333,3.32333333333333,4.02,5.38333333333333,11.8133333333333,28.4133333333333,70604.5968179474
2020-10-01,350.3,1.91666666666667,3.05333333333333,4.96,11.42,28.5066666666667,71150.0252590997
2021-01-01,366.846666666667,1.83666666666667,3.02,5.10333333333333,11.1966666666667,28.5266666666667,72164.111102881
2021-04-01,380.013333333333,1.83333333333333,4.09333333333333,6.15333333333333,11.4,28.6933333333333,73057.2089992413
2021-07-01,391.656666666667,1.64,4.74333333333333,6.58333333333333,11.64,27.6966666666667,73829.3189481806
2021-10-01,405.19,1.45333333333333,4.97333333333333,7.17666666666667,11.6966666666667,27.3133333333333,74480.440949699
2022-01-01,424.59,1.26,4.63,5.84,11.7666666666667,28.33,75010.5750037964
2022-04-01,447.326666666667,1.34333333333333,4.56333333333333,5.49666666666667,12.0266666666667,27.59,75525.978623917
2022-07-01,471.233333333333,2.81,6.24666666666667,6.45333333333333,12.1866666666667,27.99,76026.6518100607
2022-10-01,491.496666666667,3.85,8.23,7.47,12.7,28.1,76512.5945622278
2023-01-01,517.683333333333,4.39,8.05666666666667,8.15666666666667,13.7533333333333,28.1533333333333,76983.806880418
2023-04-01,547.883333333333,4.96666666666667,7.85,8.08,13.99,28.6133333333333,77553.2090555271
2023-07-01,591.603333333333,5.25333333333333,7.56333333333333,8.14333333333333,14.0966666666667,27.4033333333333,78220.8010875551
2023-10-01,629.893333333333,5.26666666666667,7.88666666666667,9.2,14.2033333333333,27.7333333333333,78986.5829765021
2024-01-01,681.37,5.80666666666667,10.0166666666667,10.5733333333333,14.86,27.6666666666667,79850.554722368
2024-04-01,733.886666666667,6.54666666666667,11.6633333333333,12.1666666666667,15.6433333333333,29.09,80498.5335317674
2024-07-01,785.3,6.76,13.8933333333333,15.65,16.55,29.6766666666667,80930.5194047003
2024-10-01,836.255,7.21,10.9233333333333,13.7066666666667,18.1033333333333,30.35,81146.5123411668
