"time","CPI_Level","Savings_Rate","TD_3m","TD_12m","Prime_Lending","Max_Lending","GDP_constant_2010","unemployment","cpi_yoy","gdp_growth_yoy","d_prime_lending","d_max_lending","d_savings_rate","reconstructed_level","type","pi_lower","pi_upper"
2007-01-01,-0.00325732899022794,3.61666666666667,10.2833333333333,8.41666666666667,17.4833333333333,18.7533333333333,42782.1180768948,12.4338248187352,-1.94366197183097,0.0645894014998845,0.963333333333335,0.666666666666668,0.136666666666667,12.4338248187352,"Observed Historical",NA,NA
2007-04-01,0.0297748729121278,3.81333333333333,10.3733333333333,8.11333333333333,17.3033333333333,18.1633333333333,43479.7127737732,12.5352978609779,-0.351052400310118,0.0657943721921258,0.536666666666669,-0.169999999999998,0.85,12.5352978609779,"Observed Historical",NA,NA
2007-07-01,0.035657616361072,3.51,10.45,8.12666666666667,16.4833333333333,18.3,44186.1873484393,12.7507365211214,-0.166044458952913,0.0664947541403912,-0.543333333333333,-0.206666666666667,0.576666666666666,12.7507365211214,"Observed Historical",NA,NA
2007-10-01,-0.00825637315401977,3.24333333333333,10.0466666666667,7.75,16.4866666666667,18.2366666666667,44901.5418008932,13.0801407991657,-0.542239015524669,0.0667120813655839,-0.773333333333333,-0.459999999999997,0.0999999999999996,13.0801407991657,"Observed Historical",NA,NA
2008-01-01,0.0222718104965026,2.88333333333333,10.8666666666667,10.4033333333333,15.4433333333333,18,45625.7761311349,13.5235106951108,-7.83744582242646,0.0664683793618881,-2.04,-0.753333333333334,-0.733333333333333,13.5235106951108,"Observed Historical",NA,NA
2008-04-01,0.0474351439845521,2.84,11.7633333333333,11.5766666666667,15.1933333333333,18.0866666666667,46386.2634107777,14.2514543754445,0.593126665042151,0.0668484323281398,-2.11,-0.076666666666668,-0.973333333333333,14.2514543754445,"Observed Historical",NA,NA
2008-07-01,0.065084963129208,2.78666666666667,12.1766666666667,12.36,15.0233333333333,18.4433333333333,47183.0036398216,15.263971840167,0.825275208251505,0.0678224683145946,-1.46,0.143333333333331,-0.723333333333333,15.263971840167,"Observed Historical",NA,NA
2008-10-01,0.00726219145093331,2.83,12.6633333333333,12.7766666666667,14.8833333333333,20.2633333333333,48015.9968182665,16.5610630892781,-1.8795861470236,0.0693618724983592,-1.60333333333334,2.02666666666666,-0.413333333333333,16.5610630892781,"Observed Historical",NA,NA
2009-01-01,0.0173708394037879,2.6,13.1,13.43,18.29,22.47,48885.2429461125,18.1427281227779,-0.220052657752468,0.0714391532893472,2.84666666666667,4.47,-0.283333333333333,18.1427281227779,"Observed Historical",NA,NA
2009-04-01,0.0311008298450467,2.61666666666667,12.98,13.07,19.0366666666667,22.6,49904.548218806,19.3983028870667,-0.344350470293184,0.0758475580770928,3.84333333333333,4.51333333333334,-0.223333333333333,19.3983028870667,"Observed Historical",NA,NA
